MMSI,BaseDateTi,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,Transceive
636017103,2021-11-10 09:23:10,40.57421,-74.03211,12.2,346.9,347,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:24:20,40.57802,-74.03331,12.0,345.3,345,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:25:21,40.58125,-74.03447,11.8,343.7,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:26:31,40.58492,-74.03594,11.5,342.9,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:27:42,40.5885,-74.03735,11.0,343.7,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:28:52,40.59183,-74.03860999999998,10.4,344.0,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:30:02,40.59495,-74.03978000000002,9.6,344.3,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:31:11,40.5978,-74.04078,9.0,345.0,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:32:20,40.60058,-74.04175,8.5,345.4,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:33:31,40.60317,-74.04264,8.0,345.6,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:34:40,40.60564,-74.04346,7.5,346.2,343,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:35:52,40.60804,-74.04425,7.1,345.4,342,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
636017103,2021-11-10 09:37:01,40.61021,-74.04500999999998,6.9,345.4,342,MAERSK SKARSTIND,IMO9740457,D5JH7,70,0,300.0,,,71,A
