MMSI,BaseDateTi,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Cargo,Transceive
636020222,2021-11-02 10:59:32,40.57201,-74.03233,12.1,349.1,349,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:00:01,40.57363,-74.03274,12.1,349.4,349,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:01:02,40.577,-74.03350999999998,12.0,350.1,349,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:02:11,40.58086,-74.03442,11.8,349.8,349,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:03:22,40.58454,-74.0353,11.8,349.1,349,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:04:32,40.58825,-74.03622,11.7,348.6,348,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:05:42,40.5919,-74.03723000000002,11.6,348.0,346,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:06:52,40.59556,-74.03845,11.6,344.0,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:07:53,40.59874,-74.03957,11.6,344.7,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:09:02,40.6023,-74.0409,11.6,343.5,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:10:12,40.60588,-74.04225,11.6,344.3,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:11:23,40.60959,-74.04366999999998,11.8,344.0,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:12:32,40.61326,-74.04505999999998,11.9,343.8,345,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:13:43,40.61701,-74.04652,12.0,343.8,346,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:14:53,40.62077,-74.04795,12.2,344.5,352,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:16:01,40.6246,-74.04868,12.0,354.6,358,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:17:12,40.62855,-74.04901,12.1,357.0,358,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:18:23,40.63243,-74.04921,12.0,359.1,358,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:19:32,40.63622,-74.04952,11.8,352.6,350,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:20:42,40.64005,-74.05025,11.7,351.0,350,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:21:53,40.64379,-74.05105,11.7,349.7,352,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:23:02,40.64753,-74.05162,11.6,355.1,355,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:24:13,40.65131,-74.05192,11.7,358.1,359,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:25:22,40.65505,-74.0519,11.6,6.8,16,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:26:33,40.6586,-74.05041999999997,11.3,23.2,25,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:27:43,40.66201,-74.04839,11.4,24.3,26,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:28:52,40.6653,-74.04635,11.6,24.0,25,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:30:02,40.66875,-74.0443,11.7,24.3,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:31:12,40.67231,-74.04225,11.8,23.5,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:32:23,40.67581,-74.04023000000002,11.9,22.7,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:33:33,40.6794,-74.03825,12.0,22.4,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:34:42,40.68294,-74.03627,12.0,23.2,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:36:22,40.68809,-74.03343000000002,12.1,23.4,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:37:33,40.69181,-74.03133000000003,12.2,23.4,24,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:38:43,40.69537,-74.02922,12.2,24.5,20,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:39:53,40.69904,-74.02759,11.9,14.2,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:41:02,40.7028,-74.02651,11.9,11.1,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:42:12,40.70649,-74.0256,12.0,10.4,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:43:22,40.71036,-74.0247,12.0,10.3,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:44:31,40.7142,-74.02385,12.1,9.8,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-02 11:45:42,40.71812,-74.02297,12.1,9.8,11,INDIGO JUGEM,IMO9748497,D5YF2,70,0,5.8,70,A
636020222,2021-11-09 02:49:34,40.71896,-74.02331,13.3,190.7,192,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:50:44,40.71471,-74.02438000000002,13.3,190.4,192,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:51:53,40.71041,-74.02544,13.3,190.5,192,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:53:02,40.7063,-74.02648,13.3,190.0,191,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:54:03,40.70262,-74.02734,13.2,189.7,191,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:55:14,40.69841,-74.02845,12.9,198.1,202,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:56:22,40.69458,-74.03038000000002,13.1,203.8,205,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:57:23,40.69123,-74.03238,13.0,205.0,205,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:58:33,40.68744,-74.03469,12.8,206.6,206,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 02:59:43,40.68376,-74.03699,12.8,204.6,205,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:00:03,40.68264,-74.03768000000002,12.8,205.4,206,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:01:13,40.67895,-74.03992,12.7,204.8,206,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:02:23,40.67514,-74.04224,12.8,205.4,206,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:03:33,40.67139,-74.04455,12.8,205.8,205,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:04:44,40.6676,-74.0468,12.8,204.7,207,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:05:54,40.66389,-74.04925,12.9,206.6,207,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:07:03,40.66015,-74.05173,13.0,207.1,208,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:08:13,40.65641,-74.05423,13.0,204.5,203,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:09:22,40.65257,-74.05609,12.7,195.1,192,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:10:33,40.64847,-74.05702,12.7,185.3,184,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:11:42,40.64433,-74.05724000000002,12.8,179.3,176,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:12:43,40.64084,-74.05663,12.7,168.1,168,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:13:52,40.63691,-74.05528000000002,12.7,164.3,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:15:02,40.63292,-74.05382,12.8,164.6,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:16:12,40.62892,-74.05234,12.8,164.2,167,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:17:13,40.62545,-74.05107,12.6,164.9,167,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:18:23,40.62151,-74.04974,12.5,166.1,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:19:33,40.6176,-74.04843000000002,12.4,165.8,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:20:43,40.61369000000001,-74.04717,12.4,166.7,167,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:21:53,40.60976,-74.04595,12.4,166.1,167,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:23:03,40.60581,-74.04474,12.5,166.1,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:24:13,40.60192,-74.04354000000002,12.4,165.7,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:25:23,40.59794,-74.04223,12.5,166.6,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:26:33,40.59402,-74.0409,12.5,165.4,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:27:42,40.59016,-74.03959,12.6,165.5,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:28:52,40.58618,-74.03819,12.8,164.2,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:30:04,40.58211,-74.03675,12.8,164.5,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:31:13,40.57811,-74.03531,12.8,165.4,167,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
636020222,2021-11-09 03:32:23,40.57413,-74.03392,12.6,165.8,166,INDIGO JUGEM,IMO9748497,D5YF2,70,0,8.1,70,A
