MMSI,Status,turn,SOG,LON,LAT,COG,Heading,BaseDateTi,IMO
564599000,0,127,11.7,103.83947,1.20673,259.7,272,2021-11-21 23:21:12,9167459
564599000,0,0,11.1,103.82861,1.20763,280.3,285,2021-11-21 23:24:43,9167459
564599000,0,0,10.6,103.81741,1.21066,287.6,290,2021-11-21 23:28:33,9167459
564599000,0,0,10.5,103.81468,1.21156,288.6,290,2021-11-21 23:29:33,9167459
564599000,0,0,9.1,103.80468,1.21573,294.5,295,2021-11-21 23:33:33,9167459
564599000,0,0,8.7,103.79772,1.21914,298.0,300,2021-11-21 23:36:44,9167459
564599000,0,0,8.1,103.79007,1.22495,316.6,325,2021-11-21 23:40:53,9167459
564599000,0,0,9.9,103.77495,1.24818,330.1,335,2021-11-21 23:51:43,9167459
564599000,0,0,9.8,103.77289,1.25174,327.7,330,2021-11-21 23:53:13,9167459
564599000,0,0,9.8,103.7691,1.2569,321.4,325,2021-11-21 23:55:33,9167459
564599000,0,0,9.8,103.76881,1.25725,320.9,325,2021-11-21 23:55:43,9167459
564599000,0,0,9.9,103.76711,1.25936,321.7,325,2021-11-21 23:56:43,9167459
564599000,0,-127,9.2,103.76369,1.26355,316.2,311,2021-11-21 23:58:44,9167459
564599000,0,0,8.6,103.76181,1.26511,308.5,310,2021-11-21 23:59:44,9167459
564599000,0,0,7.5,103.75751,1.26852,306.4,310,2021-11-22 00:02:13,9167459
564599000,0,0,6.6,103.7546,1.27069,306.5,310,2021-11-22 00:04:03,9167459
564599000,0,0,5.2,103.74859,1.27545,315.0,327,2021-11-22 00:09:13,9167459
564599000,0,127,5.1,103.74813,1.27596,318.6,332,2021-11-22 00:09:42,9167459
564599000,0,0,5.0,103.74734,1.27712,328.2,340,2021-11-22 00:10:42,9167459
564599000,0,127,4.9,103.74672,1.27836,336.2,354,2021-11-22 00:11:42,9167459
564599000,0,127,4.6,103.74641,1.27964,355.3,15,2021-11-22 00:12:42,9167459
564599000,0,127,4.5,103.74642,1.27974,357.9,16,2021-11-22 00:12:46,9167459
564599000,0,127,3.8,103.7466,1.28077,15.1,27,2021-11-22 00:13:42,9167459
564599000,0,0,2.9,103.74737,1.28221,36.2,34,2021-11-22 00:15:32,9167459
564599000,0,0,2.9,103.74745,1.28231,36.7,34,2021-11-22 00:15:42,9167459
564599000,0,0,2.6,103.7479,1.28292,37.4,34,2021-11-22 00:16:43,9167459
564599000,0,0,5.8,103.75212,1.2871,60.3,66,2021-11-22 00:21:33,9167459
564599000,0,127,5.8,103.75383,1.28792,69.0,84,2021-11-22 00:22:43,9167459
564599000,0,127,5.6,103.75459,1.28811,77.7,93,2021-11-22 00:23:36,9167459
564599000,0,0,5.4,103.75656,1.28798,98.7,100,2021-11-22 00:24:33,9167459
564599000,0,0,5.0,103.75899,1.28753,103.0,106,2021-11-22 00:26:13,9167459
564599000,0,0,3.6,103.7614,1.2869,103.3,100,2021-11-22 00:28:22,9167459
564599000,5,0,0.0,103.76731,1.28646,41.1,1,2021-11-22 00:47:02,9167459
564599000,5,0,0.1,103.76723,1.28648,168.0,1,2021-11-22 00:50:43,9167459
564599000,5,0,0.0,103.7673,1.2865,171.4,121,2021-11-22 01:03:35,9167459
